,Unnamed: 0,ID,Entity,Category,Query,Group,Original_output,Original_top_token,Mis_Knowledge_Key,Parametric_ans,Contextual_ans,src_start,dst_start,num_layers,New_Answer,TopDecodedTokenID,TopDecodedToken,Pred
139,139,30,Tom Holland,Career_error,What is the occupation of the entity?,VisTxtCont,Software engineer.,Software,mis_knowledge2,actor,software engineer,2,2,7,Software engineer.,19250,Software,CONTEXTUAL_ANS
140,140,31,Chris Pratt,Temporal_error,What year was the entity born?,VisTxtCont,1978.,1,mis_knowledge1,1979,1978,2,2,7,1978.,16,1,CONTEXTUAL_ANS
141,141,31,Chris Pratt,Temporal_error,What year was the entity born?,VisTxtCont,1980.,1,mis_knowledge2,1979,1980,2,2,7,1980.,16,1,CONTEXTUAL_ANS
142,142,31,Chris Pratt,location_error,What is the nationality of the entity?,VisTxtCont,Canadian.,Canadian,mis_knowledge1,American,Canadian,2,2,7,Canadian.,59574,Canadian,CONTEXTUAL_ANS
143,143,31,Chris Pratt,location_error,What is the nationality of the entity?,VisTxtCont,Mexican.,Mex,mis_knowledge2,American,Mexican,2,2,7,Mexican.,51565,Mex,CONTEXTUAL_ANS
144,144,31,Chris Pratt,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Actor.,Actor,mis_knowledge1,actor,chef,2,2,7,Actor.,18870,Actor,PARAMETRIC_ANSWER
145,145,31,Chris Pratt,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Actor.,Actor,mis_knowledge2,actor,software engineer,2,2,7,Actor.,18870,Actor,PARAMETRIC_ANSWER
146,146,32,Jennifer Lawrence,Temporal_error,What year was the entity born?,VisTxtCont,1989.,1,mis_knowledge1,1990,1989,2,2,7,1989.,16,1,CONTEXTUAL_ANS
147,147,32,Jennifer Lawrence,Temporal_error,What year was the entity born?,VisTxtCont,1991,1,mis_knowledge2,1990,1991,2,2,7,1991,16,1,CONTEXTUAL_ANS
148,148,32,Jennifer Lawrence,location_error,What is the nationality of the entity?,VisTxtCont,Canadian.,Canadian,mis_knowledge1,American,Canadian,2,2,7,Canadian.,59574,Canadian,CONTEXTUAL_ANS
149,149,32,Jennifer Lawrence,location_error,What is the nationality of the entity?,VisParam_TxtCont,American.,American,mis_knowledge2,American,Mexican,2,2,7,Mexican.,51565,Mex,CONTEXTUAL_ANS
150,150,32,Jennifer Lawrence,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Actress.,Act,mis_knowledge1,actress,chef,2,2,7,Chef.,93903,Chef,CONTEXTUAL_ANS
151,151,32,Jennifer Lawrence,Career_error,What is the occupation of the entity?,VisTxtParam,Actress.,Act,mis_knowledge2,actress,pilot,2,2,7,Actress.,2414,Act,PARAMETRIC_ANSWER
152,152,33,Gal Gadot,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Model and actress.,Model,mis_knowledge1,actress and model,chef,2,2,7,"Model, actress.",1712,Model,PARAMETRIC_ANSWER
153,153,33,Gal Gadot,Career_error,What is the occupation of the entity?,VisTxtParam,Actress.,Act,mis_knowledge2,actress and model,architect,2,2,7,"Model, actress.",1712,Model,PARAMETRIC_ANSWER
154,154,34,Henry Cavill,location_error,What is the nationality of the entity?,VisTxtCont,Irish.,Ir,mis_knowledge1,British,Irish,2,2,7,Irish.,48113,Ir,CONTEXTUAL_ANS
155,155,34,Henry Cavill,location_error,What is the nationality of the entity?,VisTxtCont,French.,French,mis_knowledge2,British,French,2,2,7,French.,43197,French,CONTEXTUAL_ANS
156,156,34,Henry Cavill,Career_error,What is the occupation of the entity?,VisTxtCont,Chef.,Chef,mis_knowledge1,actor,chef,2,2,7,Chef.,93903,Chef,CONTEXTUAL_ANS
157,157,34,Henry Cavill,Career_error,What is the occupation of the entity?,VisTxtParam,Actor.,Actor,mis_knowledge2,actor,pilot,2,2,7,Actor.,18870,Actor,PARAMETRIC_ANSWER
158,158,35,Benedict Cumberbatch,location_error,What is the nationality of the entity?,VisTxtCont,Irish.,Ir,mis_knowledge1,British,Irish,2,2,7,Irish.,48113,Ir,CONTEXTUAL_ANS
159,159,35,Benedict Cumberbatch,location_error,What is the nationality of the entity?,VisTxtCont,Scottish.,Scott,mis_knowledge2,British,Scottish,2,2,7,Scottish.,38220,Scott,CONTEXTUAL_ANS
160,160,35,Benedict Cumberbatch,Career_error,What is the occupation of the entity?,VisTxtParam,Actor.,Actor,mis_knowledge1,actor,chef,2,2,7,Chef.,93903,Chef,CONTEXTUAL_ANS
161,161,35,Benedict Cumberbatch,Career_error,What is the occupation of the entity?,VisTxtParam,Actor.,Actor,mis_knowledge2,actor,architect,2,2,7,Actor.,18870,Actor,PARAMETRIC_ANSWER
162,162,36,Keanu Reeves,Temporal_error,What year was the entity born?,VisTxtCont,1965.,1,mis_knowledge1,1964,1965,2,2,7,1965.,16,1,CONTEXTUAL_ANS
163,163,36,Keanu Reeves,Temporal_error,What year was the entity born?,VisTxtCont,1963.,1,mis_knowledge2,1964,1963,2,2,7,1963.,16,1,CONTEXTUAL_ANS
164,164,36,Keanu Reeves,Career_error,What is the occupation of the entity?,VisTxtParam,Actor.,Actor,mis_knowledge1,actor,chef,2,2,7,Actor.,18870,Actor,PARAMETRIC_ANSWER
165,165,36,Keanu Reeves,Career_error,What is the occupation of the entity?,VisTxtParam,Actor.,Actor,mis_knowledge2,actor,pilot,2,2,7,Actor.,18870,Actor,PARAMETRIC_ANSWER
166,166,37,Ryan Reynolds,Temporal_error,What year was the entity born?,VisTxtCont,1975.,1,mis_knowledge1,1976,1975,2,2,7,1975.,16,1,CONTEXTUAL_ANS
167,167,37,Ryan Reynolds,Temporal_error,What year was the entity born?,VisTxtCont,1977.,1,mis_knowledge2,1976,1977,2,2,7,1977.,16,1,CONTEXTUAL_ANS
168,168,37,Ryan Reynolds,Career_error,What is the occupation of the entity?,VisTxtParam,Actor.,Actor,mis_knowledge1,actor and producer,chef,2,2,7,Actor.,18870,Actor,PARAMETRIC_ANSWER
169,169,37,Ryan Reynolds,Career_error,What is the occupation of the entity?,VisTxtParam,Actor.,Actor,mis_knowledge2,actor and producer,architect,2,2,7,Actor.,18870,Actor,PARAMETRIC_ANSWER
170,170,38,Hugh Jackman,Temporal_error,What year was the entity born?,VisTxtCont,1969.,1,mis_knowledge1,1968,1969,2,2,7,1969.,16,1,CONTEXTUAL_ANS
171,171,38,Hugh Jackman,Temporal_error,What year was the entity born?,VisTxtCont,1967.,1,mis_knowledge2,1968,1967,2,2,7,1967.,16,1,CONTEXTUAL_ANS
172,172,38,Hugh Jackman,location_error,What is the nationality of the entity?,VisTxtCont,New Zealand,New,mis_knowledge1,Australian,New Zealander,2,2,7,New Zealand,3564,New,CONTEXTUAL_ANS
173,173,38,Hugh Jackman,location_error,What is the nationality of the entity?,VisTxtCont,British.,British,mis_knowledge2,Australian,British,2,2,7,Australian.,74241,Australian,PARAMETRIC_ANSWER
174,174,38,Hugh Jackman,Career_error,What is the occupation of the entity?,VisTxtParam,Actor.,Actor,mis_knowledge1,"actor, singer, and producer",chef,2,2,7,Actor.,18870,Actor,PARAMETRIC_ANSWER
175,175,38,Hugh Jackman,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Actor.,Actor,mis_knowledge2,"actor, singer, and producer",architect,2,2,7,Actor.,18870,Actor,PARAMETRIC_ANSWER
176,176,39,Priyanka Chopra,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Actress.,Act,mis_knowledge1,"actress, producer, and former Miss World",chef,2,2,7,"Chef, producer.",93903,Chef,CONTEXTUAL_ANS
177,177,39,Priyanka Chopra,Career_error,What is the occupation of the entity?,VisTxtParam,Actress,Act,mis_knowledge2,"actress, producer, and former Miss World",architect,2,2,7,Actress,2414,Act,PARAMETRIC_ANSWER
178,178,40,Nicki Minaj,Temporal_error,What year was the entity born?,VisTxtCont,1981.,1,mis_knowledge1,1982,1981,2,2,7,1981.,16,1,CONTEXTUAL_ANS
179,179,40,Nicki Minaj,Temporal_error,What year was the entity born?,VisTxtCont,1983.,1,mis_knowledge2,1982,1983,2,2,7,1983.,16,1,CONTEXTUAL_ANS
180,180,40,Nicki Minaj,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Singer-songwriter.,S,mis_knowledge1,"rapper, singer, and songwriter",novelist,2,2,7,Singer-songwriter.,50,S,PARAMETRIC_ANSWER
181,181,40,Nicki Minaj,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Rapper,R,mis_knowledge2,"rapper, singer, and songwriter",chef,2,2,7,Chef.,93903,Chef,CONTEXTUAL_ANS
182,182,41,Cardi B,location_error,What is the nationality of the entity?,VisTxtCont,Canadian.,Canadian,mis_knowledge1,American,Canadian,2,2,7,Canadian.,59574,Canadian,CONTEXTUAL_ANS
183,183,41,Cardi B,location_error,What is the nationality of the entity?,VisTxtCont,Mexican.,Mex,mis_knowledge2,American,Mexican,2,2,7,Mexican.,51565,Mex,CONTEXTUAL_ANS
184,184,41,Cardi B,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Rapper,R,mis_knowledge1,rapper and singer,chef and baker,2,2,7,Chef and baker.,93903,Chef,CONTEXTUAL_ANS
185,185,41,Cardi B,Career_error,What is the occupation of the entity?,VisTxtCont,Software engineer.,Software,mis_knowledge2,rapper and singer,software engineer,2,2,7,Software engineer.,19250,Software,neither
186,186,42,Post Malone,location_error,What is the nationality of the entity?,VisTxtCont,Canadian.,Canadian,mis_knowledge1,American,Canadian,2,2,7,Canadian.,59574,Canadian,CONTEXTUAL_ANS
187,187,42,Post Malone,location_error,What is the nationality of the entity?,VisTxtCont,Mexican.,Mex,mis_knowledge2,American,Mexican,2,2,7,Mexican.,51565,Mex,CONTEXTUAL_ANS
188,188,42,Post Malone,Career_error,What is the occupation of the entity?,VisParam_TxtCont,"Rapper, songwriter.",R,mis_knowledge1,"singer, rapper, and songwriter",chef,2,2,7,"Rapper, chef, songwriter",49,R,CONTEXTUAL_ANS
189,189,42,Post Malone,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Singer.,S,mis_knowledge2,"singer, rapper, and songwriter",architect,2,2,7,"Singer, architect, songwriter",50,S,CONTEXTUAL_ANS
190,190,43,Ed Sheeran,location_error,What is the nationality of the entity?,VisTxtCont,Irish.,Ir,mis_knowledge1,British,Irish,2,2,7,Irish.,48113,Ir,CONTEXTUAL_ANS
191,191,43,Ed Sheeran,location_error,What is the nationality of the entity?,VisTxtCont,Scottish.,Scott,mis_knowledge2,British,Scottish,2,2,7,Scottish.,38220,Scott,CONTEXTUAL_ANS
192,192,43,Ed Sheeran,Career_error,What is the occupation of the entity?,VisTxtCont,Professional footballer.,Professional,mis_knowledge1,singer-songwriter,professional footballer,2,2,7,Professional footballer.,57513,Professional,CONTEXTUAL_ANS
193,193,43,Ed Sheeran,Career_error,What is the occupation of the entity?,VisTxtCont,Software engineer.,Software,mis_knowledge2,singer-songwriter,software engineer,2,2,7,Software engineer.,19250,Software,CONTEXTUAL_ANS
194,194,44,Bruno Mars,Temporal_error,What year was the entity born?,VisTxtCont,1984.,1,mis_knowledge1,1985,1984,2,2,7,1984.,16,1,CONTEXTUAL_ANS
195,195,44,Bruno Mars,Temporal_error,What year was the entity born?,VisTxtCont,1986.,1,mis_knowledge2,1985,1986,2,2,7,1986.,16,1,CONTEXTUAL_ANS
196,196,44,Bruno Mars,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Singer-songwriter.,S,mis_knowledge1,"singer, songwriter, and record producer",chef,2,2,7,Singer-songwriter.,50,S,PARAMETRIC_ANSWER
197,197,44,Bruno Mars,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Singer.,S,mis_knowledge2,"singer, songwriter, and record producer",architect,2,2,7,Singer.,50,S,PARAMETRIC_ANSWER
198,198,45,Adele,Temporal_error,What year was the entity born?,VisTxtCont,1989.,1,mis_knowledge1,1988,1989,2,2,7,1989.,16,1,CONTEXTUAL_ANS
199,199,45,Adele,Temporal_error,What year was the entity born?,VisTxtCont,1987.,1,mis_knowledge2,1988,1987,2,2,7,1987.,16,1,CONTEXTUAL_ANS
200,200,45,Adele,location_error,What is the nationality of the entity?,VisTxtCont,Irish.,Ir,mis_knowledge1,British,Irish,2,2,7,Irish.,48113,Ir,CONTEXTUAL_ANS
201,201,45,Adele,location_error,What is the nationality of the entity?,VisTxtCont,Scottish.,Scott,mis_knowledge2,British,Scottish,2,2,7,Scottish.,38220,Scott,CONTEXTUAL_ANS
202,202,45,Adele,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Singer-songwriter.,S,mis_knowledge1,singer-songwriter,novelist,2,2,7,Singer-songwriter.,50,S,PARAMETRIC_ANSWER
203,203,45,Adele,Career_error,What is the occupation of the entity?,VisTxtCont,Chef.,Chef,mis_knowledge2,singer-songwriter,chef,2,2,7,Chef.,93903,Chef,CONTEXTUAL_ANS
204,204,46,Harry Styles,location_error,What is the nationality of the entity?,VisTxtCont,Irish.,Ir,mis_knowledge1,British,Irish,2,2,7,Irish.,48113,Ir,CONTEXTUAL_ANS
205,205,46,Harry Styles,location_error,What is the nationality of the entity?,VisTxtCont,Welsh.,Wel,mis_knowledge2,British,Welsh,2,2,7,Welsh.,83516,Wel,CONTEXTUAL_ANS
206,206,46,Harry Styles,Career_error,What is the occupation of the entity?,VisParam_TxtCont,"Actor, singer, songwriter.",Actor,mis_knowledge1,"singer, songwriter, and actor",chef,2,2,7,"Actor, singer, songwriter.",18870,Actor,PARAMETRIC_ANSWER
207,207,46,Harry Styles,Career_error,What is the occupation of the entity?,VisTxtCont,"Singer, actor, architect.",S,mis_knowledge2,"singer, songwriter, and actor",architect,2,2,7,"Singer, actor, architect",50,S,CONTEXTUAL_ANS
208,208,47,Shawn Mendes,location_error,What is the nationality of the entity?,VisTxtCont,American.,American,mis_knowledge1,Canadian,American,2,2,7,American.,28418,American,CONTEXTUAL_ANS
209,209,47,Shawn Mendes,location_error,What is the nationality of the entity?,VisTxtCont,Mexican.,Mex,mis_knowledge2,Canadian,Mexican,2,2,7,Mexican.,51565,Mex,CONTEXTUAL_ANS
210,210,47,Shawn Mendes,Career_error,What is the occupation of the entity?,VisTxtCont,Professional athlete.,Professional,mis_knowledge1,singer-songwriter and musician,professional athlete,2,2,7,Professional athlete.,57513,Professional,neither
211,211,47,Shawn Mendes,Career_error,What is the occupation of the entity?,VisTxtCont,Software engineer.,Software,mis_knowledge2,singer-songwriter and musician,software engineer,2,2,7,Software engineer.,19250,Software,neither
212,212,48,Billie Eilish,location_error,What is the nationality of the entity?,VisTxtCont,Canadian.,Canadian,mis_knowledge1,American,Canadian,2,2,7,Canadian.,59574,Canadian,CONTEXTUAL_ANS
213,213,48,Billie Eilish,location_error,What is the nationality of the entity?,VisTxtCont,Mexican.,Mex,mis_knowledge2,American,Mexican,2,2,7,Mexican.,51565,Mex,CONTEXTUAL_ANS
214,214,48,Billie Eilish,Career_error,What is the occupation of the entity?,VisTxtCont,Professional dancer.,Professional,mis_knowledge1,singer-songwriter,professional dancer,2,2,7,Professional dancer.,57513,Professional,CONTEXTUAL_ANS
215,215,48,Billie Eilish,Career_error,What is the occupation of the entity?,VisTxtCont,Novelist.,Nov,mis_knowledge2,singer-songwriter,novelist,2,2,7,Novelist.,18944,Nov,CONTEXTUAL_ANS
216,216,49,Serena Williams,Temporal_error,What year was the entity born?,VisTxtCont,1982.,1,mis_knowledge1,1981,1982,2,2,7,1982,16,1,CONTEXTUAL_ANS
217,217,49,Serena Williams,Temporal_error,What year was the entity born?,VisTxtCont,1980.,1,mis_knowledge2,1981,1980,2,2,7,1980,16,1,CONTEXTUAL_ANS
218,218,49,Serena Williams,location_error,What is the nationality of the entity?,VisTxtParam,American.,American,mis_knowledge1,American,Canadian,2,2,7,Canadian.,59574,Canadian,CONTEXTUAL_ANS
219,219,49,Serena Williams,location_error,What is the nationality of the entity?,VisTxtParam,American.,American,mis_knowledge2,American,Mexican,2,2,7,American.,28418,American,PARAMETRIC_ANSWER
220,220,49,Serena Williams,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Professional tennis player.,Professional,mis_knowledge1,professional tennis player,professional basketball player,2,2,7,Professional tennis player.,57513,Professional,PARAMETRIC_ANSWER
221,221,49,Serena Williams,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Professional tennis player.,Professional,mis_knowledge2,professional tennis player,professional golfer,2,2,7,Professional tennis player.,57513,Professional,PARAMETRIC_ANSWER
222,222,50,Roger Federer,Temporal_error,What year was the entity born?,VisTxtCont,1982.,1,mis_knowledge1,1981,1982,2,2,7,1982.,16,1,CONTEXTUAL_ANS
223,223,50,Roger Federer,Temporal_error,What year was the entity born?,VisTxtCont,1980.,1,mis_knowledge2,1981,1980,2,2,7,1980.,16,1,CONTEXTUAL_ANS
224,224,50,Roger Federer,location_error,What is the nationality of the entity?,VisCont_TxtParam,German.,German,mis_knowledge1,Swiss,German,2,2,7,German.,32079,German,CONTEXTUAL_ANS
225,225,50,Roger Federer,location_error,What is the nationality of the entity?,VisTxtCont,Austrian.,A,mis_knowledge2,Swiss,Austrian,2,2,7,Austrian.,32,A,CONTEXTUAL_ANS
226,226,50,Roger Federer,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Professional tennis player.,Professional,mis_knowledge1,retired professional tennis player,professional soccer player,2,2,7,Professional tennis player.,57513,Professional,PARAMETRIC_ANSWER
227,227,50,Roger Federer,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Professional tennis player.,Professional,mis_knowledge2,retired professional tennis player,professional golfer,2,2,7,Professional golfer.,57513,Professional,CONTEXTUAL_ANS
228,228,51,Novak Djokovic,Temporal_error,What year was the entity born?,VisTxtCont,1986.,1,mis_knowledge1,1987,1986,2,2,7,1986.,16,1,CONTEXTUAL_ANS
229,229,51,Novak Djokovic,Temporal_error,What year was the entity born?,VisTxtCont,1988.,1,mis_knowledge2,1987,1988,2,2,7,1988.,16,1,CONTEXTUAL_ANS
230,230,51,Novak Djokovic,location_error,What is the nationality of the entity?,VisTxtCont,Montenegrin.,Mont,mis_knowledge1,Serbian,Montenegrin,2,2,7,Montenegrin.,34415,Mont,CONTEXTUAL_ANS
231,231,51,Novak Djokovic,location_error,What is the nationality of the entity?,VisTxtCont,Croatian.,C,mis_knowledge2,Serbian,Croatian,2,2,7,Croatian.,34,C,CONTEXTUAL_ANS
232,232,51,Novak Djokovic,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Professional tennis player.,Professional,mis_knowledge1,professional tennis player,professional soccer player,2,2,7,Professional tennis player.,57513,Professional,PARAMETRIC_ANSWER
233,233,51,Novak Djokovic,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Professional tennis player.,Professional,mis_knowledge2,professional tennis player,professional basketball player,2,2,7,Professional tennis player.,57513,Professional,PARAMETRIC_ANSWER
234,234,52,Kobe Bryant,Temporal_error,What year was the entity born?,VisTxtCont,1979.,1,mis_knowledge1,1978,1979,2,2,7,1979.,16,1,CONTEXTUAL_ANS
235,235,52,Kobe Bryant,Temporal_error,What year was the entity born?,VisTxtCont,1977.,1,mis_knowledge2,1978,1977,2,2,7,1977.,16,1,CONTEXTUAL_ANS
236,236,52,Kobe Bryant,location_error,What is the nationality of the entity?,VisTxtCont,Canadian.,Canadian,mis_knowledge1,American,Canadian,2,2,7,Canadian.,59574,Canadian,CONTEXTUAL_ANS
237,237,52,Kobe Bryant,location_error,What is the nationality of the entity?,VisTxtCont,Mexican.,Mex,mis_knowledge2,American,Mexican,2,2,7,Mexican.,51565,Mex,CONTEXTUAL_ANS
238,238,52,Kobe Bryant,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Basketball player,Basket,mis_knowledge1,former professional basketball player,professional football player,2,2,7,Basketball player,73649,Basket,PARAMETRIC_ANSWER
239,239,52,Kobe Bryant,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Professional basketball player.,Professional,mis_knowledge2,former professional basketball player,professional baseball player,2,2,7,Professional basketball player.,57513,Professional,PARAMETRIC_ANSWER
240,240,53,Stephen Curry,Temporal_error,What year was the entity born?,VisTxtCont,1989.,1,mis_knowledge1,1988,1989,2,2,7,1989.,16,1,CONTEXTUAL_ANS
241,241,53,Stephen Curry,Temporal_error,What year was the entity born?,VisTxtCont,1987.,1,mis_knowledge2,1988,1987,2,2,7,1987,16,1,CONTEXTUAL_ANS
242,242,53,Stephen Curry,location_error,What is the nationality of the entity?,VisTxtCont,Canadian.,Canadian,mis_knowledge1,American,Canadian,2,2,7,Canadian,59574,Canadian,CONTEXTUAL_ANS
243,243,53,Stephen Curry,location_error,What is the nationality of the entity?,VisTxtCont,Mexican.,Mex,mis_knowledge2,American,Mexican,2,2,7,Mexican.,51565,Mex,CONTEXTUAL_ANS
244,244,53,Stephen Curry,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Professional basketball player.,Professional,mis_knowledge1,professional basketball player,professional soccer player,2,2,7,Professional basketball player,57513,Professional,PARAMETRIC_ANSWER
245,245,53,Stephen Curry,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Professional basketball player.,Professional,mis_knowledge2,professional basketball player,professional golfer,2,2,7,Professional basketball player,57513,Professional,PARAMETRIC_ANSWER
246,246,54,Usain Bolt,Temporal_error,What year was the entity born?,VisTxtCont,1985.,1,mis_knowledge1,1986,1985,2,2,7,1985,16,1,CONTEXTUAL_ANS
247,247,54,Usain Bolt,Temporal_error,What year was the entity born?,VisTxtCont,1987.,1,mis_knowledge2,1986,1987,2,2,7,1987,16,1,CONTEXTUAL_ANS
248,248,54,Usain Bolt,location_error,What is the nationality of the entity?,VisParam_TxtCont,Jamaican,J,mis_knowledge1,Jamaican,Haitian,2,2,7,Jamaican,41,J,PARAMETRIC_ANSWER
249,249,54,Usain Bolt,location_error,What is the nationality of the entity?,VisTxtParam,Jamaican,J,mis_knowledge2,Jamaican,Cuban,2,2,7,Jamaican,41,J,PARAMETRIC_ANSWER
250,250,54,Usain Bolt,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Athlete,Ath,mis_knowledge1,retired sprinter,footballer,2,2,7,Footballer,86323,Football,CONTEXTUAL_ANS
251,251,54,Usain Bolt,Career_error,What is the occupation of the entity?,VisTxtParam,Retired athlete,Ret,mis_knowledge2,retired sprinter,basketball player,2,2,7,Basketball player,73649,Basket,CONTEXTUAL_ANS
252,252,55,Simone Biles,location_error,What is the nationality of the entity?,VisParam_TxtCont,American.,American,mis_knowledge1,American,Canadian,2,2,7,Canadian,59574,Canadian,CONTEXTUAL_ANS
253,253,55,Simone Biles,location_error,What is the nationality of the entity?,VisParam_TxtCont,American.,American,mis_knowledge2,American,Mexican,2,2,7,Mexican,51565,Mex,CONTEXTUAL_ANS
254,254,55,Simone Biles,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Gymnast.,G,mis_knowledge1,gymnast,swimmer,2,2,7,Swimmer.,13218,Sw,CONTEXTUAL_ANS
255,255,55,Simone Biles,Career_error,What is the occupation of the entity?,VisTxtCont,Basketball player.,Basket,mis_knowledge2,gymnast,basketball player,2,2,7,Basketball player.,73649,Basket,CONTEXTUAL_ANS
256,256,56,Lewis Hamilton,location_error,What is the nationality of the entity?,VisTxtCont,Irish.,Ir,mis_knowledge1,British,Irish,2,2,7,Irish.,48113,Ir,CONTEXTUAL_ANS
257,257,56,Lewis Hamilton,location_error,What is the nationality of the entity?,VisTxtParam,British,British,mis_knowledge2,British,French,2,2,7,French.,43197,French,CONTEXTUAL_ANS
258,258,56,Lewis Hamilton,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Professional racer.,Professional,mis_knowledge1,Formula 1 racing driver,professional golfer,2,2,7,Professional golfer.,57513,Professional,CONTEXTUAL_ANS
259,259,56,Lewis Hamilton,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Formula One driver.,Formula,mis_knowledge2,Formula 1 racing driver,software engineer,2,2,7,Software engineer.,19250,Software,CONTEXTUAL_ANS
260,260,57,Virat Kohli,Temporal_error,What year was the entity born?,VisTxtCont,1989.,1,mis_knowledge1,1988,1989,2,2,7,1989.,16,1,CONTEXTUAL_ANS
261,261,57,Virat Kohli,Temporal_error,What year was the entity born?,VisTxtCont,1987,1,mis_knowledge2,1988,1987,2,2,7,1987.,16,1,CONTEXTUAL_ANS
262,262,57,Virat Kohli,location_error,What is the nationality of the entity?,VisTxtParam,Indian.,Indian,mis_knowledge1,Indian,Pakistani,2,2,7,Indian.,47564,Indian,PARAMETRIC_ANSWER
263,263,57,Virat Kohli,location_error,What is the nationality of the entity?,VisCont_TxtParam,Bangladeshi.,Bang,mis_knowledge2,Indian,Bangladeshi,2,2,7,Bangladeshi.,62819,Bang,CONTEXTUAL_ANS
264,264,57,Virat Kohli,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Cricket player,Cr,mis_knowledge1,cricketer,footballer,2,2,7,Footballer.,86323,Football,CONTEXTUAL_ANS
265,265,57,Virat Kohli,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Cricket player,Cr,mis_knowledge2,cricketer,chef,2,2,7,Chef.,93903,Chef,CONTEXTUAL_ANS
266,266,58,Elon Musk,Temporal_error,What year was the entity born?,VisTxtCont,1970.,1,mis_knowledge1,1971,1970,2,2,7,1970.,16,1,CONTEXTUAL_ANS
267,267,58,Elon Musk,Temporal_error,What year was the entity born?,VisTxtCont,1972.,1,mis_knowledge2,1971,1972,2,2,7,1972.,16,1,CONTEXTUAL_ANS
268,268,58,Elon Musk,Career_error,What is the occupation of the entity?,VisTxtCont,Professional chef.,Professional,mis_knowledge1,"business magnate, investor, and engineer",professional chef,2,2,7,Professional chef.,57513,Professional,CONTEXTUAL_ANS
269,269,58,Elon Musk,Career_error,What is the occupation of the entity?,VisTxtParam,Entrepreneur,Entre,mis_knowledge2,"business magnate, investor, and engineer",ballet dancer,2,2,7,Entrepreneur,70588,Entre,PARAMETRIC_ANSWER
270,270,59,Jeff Bezos,Temporal_error,What year was the entity born?,VisTxtCont,1965.,1,mis_knowledge1,1964,1965,2,2,7,1965.,16,1,CONTEXTUAL_ANS
271,271,59,Jeff Bezos,Temporal_error,What year was the entity born?,VisTxtCont,1963.,1,mis_knowledge2,1964,1963,2,2,7,1963.,16,1,CONTEXTUAL_ANS
272,272,59,Jeff Bezos,location_error,What is the nationality of the entity?,VisCont_TxtParam,Canadian.,Canadian,mis_knowledge1,American,Canadian,2,2,7,American.,28418,American,PARAMETRIC_ANSWER
273,273,59,Jeff Bezos,location_error,What is the nationality of the entity?,VisTxtParam,American.,American,mis_knowledge2,American,Mexican,2,2,7,American.,28418,American,PARAMETRIC_ANSWER
274,274,59,Jeff Bezos,Career_error,What is the occupation of the entity?,VisTxtParam,Founder of Amazon.,Founder,mis_knowledge1,entrepreneur and founder of Amazon,chef,2,2,7,Chef and founder.,93903,Chef,PARAMETRIC_ANSWER
275,275,59,Jeff Bezos,Career_error,What is the occupation of the entity?,VisTxtParam,Founder of Amazon.,Founder,mis_knowledge2,entrepreneur and founder of Amazon,dentist,2,2,7,Entrepreneur,70588,Entre,PARAMETRIC_ANSWER
276,276,60,Jack Ma,Temporal_error,What year was the entity born?,VisTxtCont,1965.,1,mis_knowledge1,1964,1965,2,2,7,1965,16,1,CONTEXTUAL_ANS
277,277,60,Jack Ma,Temporal_error,What year was the entity born?,VisTxtCont,1963.,1,mis_knowledge2,1964,1963,2,2,7,1963,16,1,CONTEXTUAL_ANS
278,278,60,Jack Ma,location_error,What is the nationality of the entity?,VisTxtParam,Chinese.,Chinese,mis_knowledge1,Chinese,[Japanese],2,2,7,Chinese,44923,Chinese,PARAMETRIC_ANSWER
279,279,60,Jack Ma,location_error,What is the nationality of the entity?,VisTxtParam,Chinese.,Chinese,mis_knowledge2,Chinese,[Korean],2,2,7,Chinese,44923,Chinese,PARAMETRIC_ANSWER
